"%1 details","%1 gegevens"
"%1 [Trace ID: %2]","%1 [Trace-ID: %2]"
"%1 could not be reached to verify this API key. This is a connection problem rather than necessarily a problem with the key. Check that this store can make outbound requests, then try again.","%1 kon niet worden bereikt om deze API-sleutel te verifiëren. Dit is een verbindingsprobleem en niet noodzakelijk een probleem met de sleutel. Controleer of deze winkel uitgaande verzoeken kan versturen en probeer het opnieuw."
"%1 could not verify this API key because the service returned an error (HTTP %2). The key itself may be fine, so please try again shortly.","%1 kon deze API-sleutel niet verifiëren omdat de service een fout heeft geretourneerd (HTTP %2). De sleutel zelf is mogelijk in orde, probeer het dus binnenkort opnieuw."
"%1 customer address updated.","%1 klantadres bijgewerkt."
"%1 is a payment solution for B2B purchases online, allowing you to buy from your favourite merchants and suppliers on trade credit. Using %1, you can access flexible trade credit instantly to make purchasing simple.","%1 is een betalingsoplossing voor online B2B-aankopen, waarmee u op handelskrediet kunt kopen bij uw favoriete handelaren en leveranciers. Met %1 heeft u direct toegang tot flexibel handelskrediet om het aankopen eenvoudig te maken."
"%1 order has been marked as cancelled","%1 bestelling is gemarkeerd als geannuleerd"
"%1 order marked as completed.","%1 bestelling gemarkeerd als voltooid."
"%1 order marked as partially completed.","%1 bestelling gemarkeerd als gedeeltelijk voltooid."
"%1 payment has been verified by the customer.","%1 betaling is door de klant geverifieerd."
"%1 requires whole order to be shipped before it can be fulfilled.","%1 vereist dat de gehele bestelling wordt verzonden voordat deze kan worden uitgevoerd."
"%1 returned an unexpected response while verifying this API key, so it could not be confirmed. Please try again shortly.","%1 heeft een onverwacht antwoord geretourneerd tijdens het verifiëren van deze API-sleutel, dus deze kon niet worden bevestigd. Probeer het binnenkort opnieuw."
"%1 terms and conditions","%1 voorwaarden en condities"
"* Required Fields","* Verplichte velden"
"Invalid company search request.","Ongeldige aanvraag voor bedrijfszoekopdracht."
"Invalid company lookup request.","Ongeldige aanvraag voor bedrijfsgegevens."
"This order is too large to send for approval.","Deze bestelling is te groot om ter goedkeuring te versturen."
"We could not fetch this company's address. Please enter it below.","We konden het adres van dit bedrijf niet ophalen. Voer het hieronder in."
"We could not fill in this company's address on this page.","We could not fill in this company's address on this page."
"Trusted proxies","Vertrouwde proxy's"
"Trusted proxies: ""%1"" is not a valid IP address or CIDR range.","Vertrouwde proxy's: ""%1"" is geen geldig IP-adres of CIDR-bereik."
"Custom request headers","Aangepaste verzoekheaders"
"Extra HTTP headers sent on every call this store makes to the %1 API, for merchants whose firewall or gateway requires one — a coarse network gate, not a credential. Tick ""Also send from browser"" only where your IT administrator needs the header on calls from the buyer's browser as well as those from your server: a ticked header is published to the buyer's browser and may be read by anyone. Check with support before ticking one — the browser's own direct call is refused unless %1 already allows that header name on it.","Extra HTTP-headers die worden meegestuurd bij elke aanroep die deze winkel naar de %1-API doet, voor verkopers wier firewall of gateway dit vereist — een grove netwerkbeveiliging, geen inloggegevens. Vink ""Ook vanuit de browser verzenden"" alleen aan waar uw IT-beheerder de header nodig heeft bij aanroepen vanuit de browser van de koper naast die vanaf uw server: een aangevinkte header wordt gepubliceerd naar de browser van de koper en kan door iedereen worden gelezen. Neem contact op met support voordat u dit aanvinkt — de directe aanroep vanuit de browser wordt geweigerd tenzij %1 die headernaam daarvoor al toestaat."
"Header name","Headernaam"
"Header value","Headerwaarde"
"Also send from browser","Ook vanuit de browser verzenden"
"Add header","Header toevoegen"
"Custom headers: ""%1"" is listed more than once. Give each header one row.","Aangepaste headers: ""%1"" staat meer dan één keer in de lijst. Geef elke header één rij."
"Custom headers: ""%1"" has no value. Give it one, or remove the row.","Aangepaste headers: ""%1"" heeft geen waarde. Geef er een waarde aan of verwijder de rij."
"Custom headers: row %1 has a value but no header name.","Aangepaste headers: rij %1 heeft een waarde maar geen headernaam."
"Custom headers: the value for ""%1"" may only contain printable ASCII characters — no line breaks, control characters, or non-ASCII text.","Aangepaste headers: de waarde voor ""%1"" mag alleen afdrukbare ASCII-tekens bevatten — geen regeleinden, controletekens of niet-ASCII-tekst."
"Custom headers: the table could not be stored. Check the values for stray characters.","Aangepaste headers: de tabel kon niet worden opgeslagen. Controleer de waarden op ongewenste tekens."
"Custom headers: ""%1"" is not a valid HTTP header name.","Aangepaste headers: ""%1"" is geen geldige HTTP-headernaam."
"Custom headers: ""%1"" is a reserved header name and cannot be sent from this table.","Aangepaste headers: ""%1"" is een gereserveerde headernaam en kan niet vanuit deze tabel worden verzonden."
"Disable checkout rate limiting","Snelheidsbeperking in de afrekening uitschakelen"
"Order management","Orderbeheer"
"Diagnostics","Diagnostiek"
"Default shipping tax class","Standaard btw-klasse voor verzending"
"Default shipping tax rate (%) (deprecated)","Standaard btw-tarief voor verzending (%) (verouderd)"
"Debug & logging","Foutopsporing en logging"
"Enable debug logging","API-logging inschakelen"
"Admin controls","Beheerdersinstellingen"
"Clear settings on module uninstall","Instellingen wissen bij het verwijderen van de module"
"Disable SSL verification","SSL-verificatie uitschakelen"
"Health","Status"
"Health checklist","Statuscontrolelijst"
"Verified","Geverifieerd"
"Not verified","Niet geverifieerd"
"Not set","Niet ingesteld"
"Enabled","Ingeschakeld"
"Disabled","Uitgeschakeld"
"SSL verification","SSL-verificatie"
"Security warning: SSL verification is disabled while the Environment is set to Production.","Veiligheidswaarschuwing: SSL-verificatie is uitgeschakeld terwijl de omgeving op productie staat."
"Availability","Beschikbaarheid"
"Company lookup","Bedrijfsopzoeking"
"Subtitle","Subtitel"
"Title & display","Titel en weergave"
"Vendor name (optional)","Leveranciersnaam (optioneel)"
"Display input tooltips","Weergave van invoertooltips"
"Custom payment terms (days)","Aangepaste betaaltermijnen (dagen)"
"Default payment terms","Standaard betaaltermijnen"
"Other charges","Overige kosten"
"Refund other charges","Overige kosten terugbetalen"
"No matches found","Geen overeenkomsten gevonden"
"The shipping method is missing. Select the shipping method and try again.","De verzendmethode ontbreekt. Selecteer de verzendmethode en probeer het opnieuw."
"Your order is already being placed. Please wait.","Uw bestelling wordt al geplaatst. Een moment geduld."
"Use Default Value","Gebruik standaardwaarde"
"%1 surcharge","%1-toeslag"
"%1 order id","%1-bestelnummer"
"Refund %1 surcharge","%1-toeslag terugbetalen"
"What is %1?","Wat is %1?"
"%1 is not available for this order","%1 is niet beschikbaar voor deze bestelling"
"%1 is not available for this order by %2 (%3)","%1 is niet beschikbaar voor deze bestelling van %2 (%3)"
"%1 results are available, use up and down arrow keys to navigate.","%1 resultaten zijn beschikbaar, gebruik de pijltoetsen omhoog en omlaag om te navigeren."
"1 result is available, use up and down arrow keys to navigate.","1 resultaat is beschikbaar, gebruik de pijltoetsen omhoog en omlaag om te navigeren."
"This payment method is not available for the selected company.","Deze betaalmethode is niet beschikbaar voor het geselecteerde bedrijf."
"This order is likely to be accepted by %1","Deze bestelling wordt waarschijnlijk geaccepteerd door %1"
"This order by %2 (%3) is likely to be accepted by %1","Deze bestelling van %2 (%3) wordt waarschijnlijk geaccepteerd door %1"
"Show ""What is Two"" link","Toon de link ""Wat is Two"""
"Show a link at checkout explaining Two's buy-now-pay-later offering to the buyer.","Toon bij het afrekenen een link die de koper het koop nu, betaal later-aanbod van Two uitlegt."
"Addresses of your own reverse proxies, load balancers or CDN egress, as IPs or CIDR ranges, separated by commas or new lines. These IP addresses will be exempt from rate limiting.","Adressen van uw eigen reverse proxy's, load balancers of CDN-uitgangen, als IP's of CIDR-bereiken, gescheiden door komma's of nieuwe regels. Deze IP-adressen zijn uitgesloten van snelheidsbeperking."
"Autocomplete address based on selected country and company. Unavailable while company search is not in the address entry section — with search relocated to the payment method there is no address step left for it to fill.","Automatisch invullen van adres gebaseerd op geselecteerd land en bedrijf. Niet beschikbaar zolang het zoeken naar bedrijven niet bij de adresinvoer staat — als het zoeken is verplaatst naar de betaalmethode, is er geen adresstap meer om in te vullen."
"Deprecated flat rate. Only used when default_shipping_tax_class above is unset.","Verouderd vast tarief. Wordt alleen gebruikt wanneer default_shipping_tax_class hierboven niet is ingesteld."
"Only used when a shipping method charges tax but Magento declares no rate for it. The rate is resolved through this Product Tax Class against the order's shipping destination, the same way a product's tax is resolved. Leave unselected to refuse such orders instead of assuming a rate.","Wordt alleen gebruikt wanneer een verzendmethode btw in rekening brengt maar Magento er geen tarief voor opgeeft. Het tarief wordt bepaald via deze BTW-klasse op basis van de verzendbestemming van de bestelling, op dezelfde manier als de btw van een product wordt bepaald. Laat dit niet geselecteerd om dergelijke bestellingen te weigeren in plaats van een tarief aan te nemen."
"Optional subtitle shown beneath the title at checkout. Can be set per store view.","Optionele ondertitel die bij het afrekenen onder de titel wordt weergegeven. Kan per winkelweergave worden ingesteld."
"Subtitle accepts plain text and a single link only; ""%1"" would be shown as ""%2"".","De ondertitel accepteert alleen platte tekst en één link; ""%1"" wordt weergegeven als ""%2""."
"Show a hover tooltip with the field label on the optional checkout field inputs above.","Toon een tooltip met het veldlabel bij de optionele afrekenvelden hierboven."
"Total fee charges the configured surcharge for the chosen term. Fee difference charges only the difference versus the default payment term.","Totale vergoeding brengt de ingestelde toeslag voor de gekozen termijn in rekening. Verschil in vergoeding brengt alleen het verschil ten opzichte van de standaard betaaltermijn in rekening."
"When this module is uninstalled (bin/magento module:uninstall), delete its stored configuration instead of leaving it behind.","Wanneer deze module wordt verwijderd (bin/magento module:uninstall), verwijder dan de opgeslagen configuratie in plaats van deze achter te laten."
"If fulfilment trigger is On Completion, select one or more order statuses which can trigger fulfilment. <strong>Leave this empty and no order status triggers fulfilment, so %1 is never notified that an order was fulfilled.</strong>","Als de vervullingstrigger op Bij voltooiing staat, selecteer dan een of meer orderstatussen die vervulling kunnen triggeren. <strong>Laat dit leeg en geen enkele orderstatus triggert vervulling, waardoor %1 nooit wordt gemeld dat een order is vervuld.</strong>"
"If this store represents one of several vendor sites sharing the same Two merchant account, enter a name here to identify this specific site/vendor. It is sent as the ""vendor_name"" field on every order Two receives from this store, and is not shown to buyers. Leave blank if you only run a single site.","Als deze winkel een van meerdere leverancierssites is die dezelfde Two-handelaarsaccount delen, voer hier een naam in om deze specifieke site/leverancier te identificeren. Deze wordt verzonden als het veld ""vendor_name"" bij elke bestelling die Two van deze winkel ontvangt en wordt niet aan kopers getoond. Laat leeg als u slechts één site beheert."
"Removes the per-caller ceiling on the company-lookup and order-intent routes. The ceiling is on by default. <strong>If this store sits behind a CDN, load balancer or reverse proxy and <em>Trusted proxies</em> above is empty, every buyer arrives as that one address and shares a single ceiling — buyers are then refused mid-checkout with a too-many-requests message.</strong> The fix is to fill in <strong>Trusted proxies</strong>, which lets the ceiling tell buyers apart; switch this On only as a stopgap while you get that list, and back Off afterwards.","Verwijdert de limiet per aanroeper op de routes voor bedrijfsopzoeking en orderintentie. De limiet staat standaard aan. <strong>Als deze winkel achter een CDN, load balancer of reverse proxy staat en <em>Vertrouwde proxy's</em> hierboven leeg is, komt elke koper binnen als dat ene adres en delen zij één limiet — kopers worden dan halverwege het afrekenen geweigerd met een melding over te veel verzoeken.</strong> De oplossing is <strong>Vertrouwde proxy's</strong> invullen, waardoor de limiet kopers uit elkaar kan houden; zet dit alleen aan als tijdelijke maatregel terwijl u die lijst opstelt, en zet het daarna weer uit."
"Two: checkout rate limiting is on and no trusted proxies are set. If this store sits behind a CDN, load balancer or reverse proxy, every buyer reaches it as one address and shares a single request ceiling, so buyers can be refused mid-checkout. <a href=""%1"">Set Trusted proxies</a>, or leave this if the store is reached directly.","Two: snelheidsbeperking in de afrekening staat aan en er zijn geen vertrouwde proxy's ingesteld. Als deze winkel achter een CDN, load balancer of reverse proxy staat, bereikt elke koper de winkel als één adres en delen zij één verzoeklimiet, waardoor kopers halverwege het afrekenen geweigerd kunnen worden. <a href=""%1"">Vertrouwde proxy's instellen</a>, of laat dit zo als de winkel direct wordt bereikt."
"<strong>WARNING: unsafe for production.</strong> Skips TLS certificate verification on outbound calls to the Two API. Only enable this if this store sits behind a corporate proxy that terminates TLS with its own certificate. Leave this Off everywhere else.","<strong>WAARSCHUWING: onveilig voor productie.</strong> Slaat TLS-certificaatverificatie over bij uitgaande aanroepen naar de Two-API. Schakel dit alleen in als deze winkel achter een bedrijfsproxy staat die TLS met een eigen certificaat afhandelt. Laat dit overal elders uitgeschakeld."
"Merchant profile","Verkopersprofiel"
"Refresh merchant profile","Verkopersprofiel vernieuwen"
"Your offerable payment terms, buyer-surcharge cap, minimum order value and default term are read from Two and cached. They are refreshed once a day by the scheduled job and whenever the API key or environment is saved; use this to pull a change through now.","De betaaltermijnen die u kunt aanbieden, het maximum voor de kopertoeslag, de minimale orderwaarde en de standaardtermijn worden bij Two opgehaald en in de cache bewaard. Ze worden eenmaal per dag door de geplande taak vernieuwd en telkens wanneer de API-sleutel of de omgeving wordt opgeslagen; gebruik dit om een wijziging nu direct op te halen."
"Merchant profile refreshed.","Verkopersprofiel vernieuwd."
"Could not refresh the merchant profile — the previously loaded values are still in use. Check that the API key for this scope is valid and that the Two API is reachable.","Kon het verkopersprofiel niet vernieuwen — de eerder geladen waarden zijn nog in gebruik. Controleer of de API-sleutel voor dit bereik geldig is en of de Two API bereikbaar is."
"Refreshing…","Vernieuwen…"
"Could not refresh the merchant profile.","Kon het verkopersprofiel niet vernieuwen."
"Refreshed %1 of %2 merchant profiles. The rest still use their previously loaded values — check the API key and environment on the store views that use them.","%1 van %2 verkopersprofielen vernieuwd. De overige gebruiken nog de eerder geladen waarden — controleer de API-sleutel en de omgeving op de winkelweergaven die ze gebruiken."
"This scope no longer exists — reload the page and try again.","Dit bereik bestaat niet meer — laad de pagina opnieuw en probeer het nog eens."
"No API key is set at this scope, so there is no merchant profile to refresh.","Op dit bereik is geen API-sleutel ingesteld, dus er is geen verkopersprofiel om te vernieuwen."
"This website has no store view, so nothing reads the API key set here.","Deze website heeft geen winkelweergave, dus niets leest de hier ingestelde API-sleutel."
"Every store view in this website has its own API key, so nothing reads the one set here.","Elke winkelweergave van deze website heeft een eigen API-sleutel, dus niets leest de hier ingestelde sleutel."
"Refreshed %1 of %2 merchant profiles before the request ran out of time. Press again for the rest.","%1 van %2 verkopersprofielen vernieuwd voordat de tijd voor het verzoek verstreek. Druk nogmaals voor de rest."
"Two gateway","Two-gateway"
"Merchant profile fetched from Two: offerable payment terms, buyer-surcharge cap, minimum order value and default term.","Verkopersprofiel opgehaald bij Two: aan te bieden betaaltermijnen, maximale kopertoeslag, minimale orderwaarde en standaardtermijn."
"Refreshed %1","Vernieuwd %1"
"Never refreshed","Nooit vernieuwd"
"Refreshed %1 — the hourly refresh appears not to be running","Vernieuwd %1 — de uurlijkse vernieuwing lijkt niet te draaien"
"Missing when read at %1 — the hourly refresh appears not to be running","Ontbrak bij het lezen om %1 — de uurlijkse vernieuwing lijkt niet te draaien"
"Payment terms you are not able to offer: %1 days. Choose from: %2 days.","Betaaltermijnen die u niet kunt aanbieden: %1 dagen. Kies uit: %2 dagen."
"Unrecognised surcharge method: %1. Choose one of: %2.","Onbekende toeslagmethode: %1. Kies een van: %2."
"Remove","Verwijderen"
"Custom payment terms (days) can only be removed, not changed.","Aangepaste betaaltermijnen (dagen) kunnen alleen worden verwijderd, niet gewijzigd."
"Default payment terms names %1 days, which is not one of the terms you offer: %2 days. Choose one of those in this same save.","Standaardbetaaltermijn noemt %1 dagen, wat niet een van de termijnen is die u aanbiedt: %2 dagen. Kies er een in dezelfde bewerking."
"Custom payment terms (days) holds ""%1"", which is not a usable number of days. Choose Remove on that field to clear it.","Aangepaste betaaltermijnen (dagen) bevat %1, wat geen bruikbaar aantal dagen is. Kies Verwijderen bij dat veld om het te wissen."
"Custom payment terms (days) holds ""%1"", which is not a usable number of days: untick the inherit box on that field and choose Remove to clear it here, or choose Remove at the scope it is set on.","Aangepaste betaaltermijnen (dagen) bevat %1, wat geen bruikbaar aantal dagen is: vink het overervingsvakje bij dat veld uit en kies Verwijderen om het hier te wissen, of kies Verwijderen op het niveau waar het is ingesteld."
"Custom payment terms (days) of %1 is now one of the standard terms you offer, so it has been selected under Payment terms and the custom field cleared.","Aangepaste betaaltermijnen (dagen) van %1 is nu een van de standaardtermijnen die u aanbiedt, dus deze is geselecteerd onder Betaaltermijnen en het aangepaste veld is gewist."
"Legacy setting. This offers a custom term of %1 days after the end of the month. It is no longer supported and cannot be edited. Choose Remove to withdraw it, or use the payment terms above to change what you offer.","Verouderde instelling. Dit biedt een aangepaste termijn van %1 dagen na het einde van de maand. Deze wordt niet langer ondersteund en kan niet worden gewijzigd. Kies Verwijderen om deze in te trekken, of gebruik de betaaltermijnen hierboven om te wijzigen wat u aanbiedt."
"Legacy setting. This offers a custom term of %1 days from fulfilment. It is no longer supported and cannot be edited. Choose Remove to withdraw it, or use the payment terms above to change what you offer.","Verouderde instelling. Dit biedt een aangepaste termijn van %1 dagen vanaf uitvoering. Deze wordt niet langer ondersteund en kan niet worden gewijzigd. Kies Verwijderen om deze in te trekken, of gebruik de betaaltermijnen hierboven om te wijzigen wat u aanbiedt."
"Legacy setting currently holds ""%1"", which is not a usable number of days. It is no longer supported and cannot be edited, and this section cannot be saved until it is removed. Choose Remove to clear it.","Verouderde instelling bevat %1, wat geen bruikbaar aantal dagen is. Deze wordt niet langer ondersteund en kan niet worden gewijzigd, en deze sectie kan niet worden opgeslagen totdat deze is verwijderd. Kies Verwijderen om deze te wissen."
"Select at least one payment term.","Selecteer minstens één betaaltermijn."
"Fees could not be loaded because the pricing service could not be reached. The figures beside each term are missing, not zero.","De kosten konden niet worden geladen omdat de prijsservice niet bereikbaar was. De bedragen naast elke betalingstermijn ontbreken, ze zijn niet nul."
"Fees could not be refreshed, so the figures last retrieved are shown.","De kosten konden niet worden vernieuwd, dus de laatst opgehaalde bedragen worden weergegeven."
"Fees could not be refreshed, so the figures retrieved on %1 are shown.","De kosten konden niet worden vernieuwd, dus de op %1 opgehaalde bedragen worden weergegeven."
"Fees cannot be shown until an API key is saved for this scope.","De kosten kunnen niet worden weergegeven totdat er een API-sleutel voor dit bereik is opgeslagen."
"no figure","geen bedrag"
"Other charges refund must be a valid amount (e.g. 1.50 or 1,50).","Restitutie van overige kosten moet een geldig bedrag zijn (bijv. 1.50 of 1,50)."
"Other charges refund cannot be negative.","Restitutie van overige kosten mag niet negatief zijn."
"Other charges refund (%1) exceeds the remaining refundable other charges (%2).","Restitutie van overige kosten (%1) overschrijdt de resterende restitueerbare overige kosten (%2)."
"Other charges cannot be refunded on this credit memo: its tax is short by %1 against its own lines.","Overige kosten kunnen niet op deze creditnota worden terugbetaald: de BTW ervan komt %1 tekort ten opzichte van de eigen regels."
"Other charges cannot be refunded: the order has no usable currency conversion rate.","Overige kosten kunnen niet worden terugbetaald: de bestelling heeft geen bruikbare wisselkoers."
"Other charges refund (%1) exceeds what the order's remaining VAT allowance covers (%2).","Restitutie van overige kosten (%1) overschrijdt wat de resterende BTW-ruimte van de bestelling dekt (%2)."
"Other charges refund (%1) exceeds what is still refundable on this order (%2).","Restitutie van overige kosten (%1) overschrijdt wat er nog restitueerbaar is op deze bestelling (%2)."
"Other charges cannot be refunded on this credit memo: %1 of VAT is already granted, more than %2 of net carries.","Overige kosten kunnen niet op deze creditnota worden terugbetaald: er is al %1 BTW toegekend, meer dan %2 netto met zich meebrengt."
"Payment method at checkout","Betaalmethode in de checkout"
"Not shown at checkout","Niet zichtbaar in de checkout"
"the payment method is disabled. Check Enable payment method.","de betaalmethode is uitgeschakeld. Controleer Betaalmethode inschakelen."
"no API key is saved. Check API key.","er is geen API-sleutel opgeslagen. Controleer API-sleutel."
"the API key was rejected. Check API key and Environment.","de API-sleutel is geweigerd. Controleer API-sleutel en Omgeving."
"the saved surcharge method is not recognised. Check Surcharge method.","de opgeslagen toeslagstrategie wordt niet herkend. Controleer Toeslagstrategie."
"Shown at checkout","Zichtbaar in de checkout"
"no buyer countries are currently enabled for your account. Contact %1 to have them enabled.","er zijn momenteel geen landen van de koper geactiveerd voor uw account. Neem contact op met %1 om ze te laten activeren."
"hidden for baskets below %1","verborgen voor winkelwagens onder %1"
"hidden for baskets below %1 or %2","verborgen voor winkelwagens onder %1 of %2"
"excluding tax","exclusief btw"
"including tax","inclusief btw"
"the buyer countries on your account could not be read. Contact %1.","de landen van de koper op uw account konden niet worden gelezen. Neem contact op met %1."
"country availability is set to specific countries with none chosen. Check Allowed countries.","Beschikbaarheid per land staat op specifieke landen zonder dat er een is gekozen. Controleer Toegestane landen."
"minimum order value not known until your profile refreshes","minimumbestelwaarde nog niet bekend totdat uw profiel is vernieuwd"
"hidden for baskets in a currency the buyer surcharge cannot be priced in","verborgen voor winkelwagens in een valuta waarin de toeslag voor de koper niet kan worden berekend"
"offered only to buyers in %1","alleen aangeboden aan kopers in %1"
"offered to no buyer country, because the two country lists do not overlap","aan geen enkel land van de koper aangeboden, omdat de twee landenlijsten niet overlappen"
"Automatic","Automatisch"
"%1 (Excl. Tax)","%1 (Excl. BTW)"
"%1 (Incl. Tax)","%1 (Incl. BTW)"
"Cannot apply the surcharge limit in %1: no exchange rate is currently available.","Kan de toeslaglimiet in %1 niet toepassen: er is momenteel geen wisselkoers beschikbaar."
"EOM+%1","EOM+%1"
